WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2015-02-28,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,2,6535.0,Political violence,1291,3.9083,97.125
2015-03-21,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,2,4,318495.0,Political violence,1291,3.9083,97.125
2015-05-16,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,3,65485.0,Political violence,1291,3.9083,97.125
2015-05-23,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,3,1,156048.0,Political violence,1291,3.9083,97.125
2015-08-15,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,1,51658.0,Political violence,1291,3.9083,97.125
2019-04-20,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,1,61896.0,Political violence,1291,3.9083,97.125
2019-09-14,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,4,14595.0,Political violence,1291,3.9083,97.125
2019-11-30,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,1,3576.0,Political violence,1291,3.9083,97.125
2021-10-23,Southeast Asia,Indonesia,Aceh,Battles,Armed clash,1,0,7385.0,Political violence,1291,3.9083,97.125
2020-06-06,Southeast Asia,Indonesia,Aceh,Explosions/Remote violence,Grenade,1,0,7599.0,Political violence,1291,3.9083,97.125
2024-08-31,Southeast Asia,Indonesia,Aceh,Explosions/Remote violence,Grenade,1,0,293188.0,Political violence,1291,3.9083,97.125
2015-01-24,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,2,0,21154.0,Demonstrations,1291,3.9083,97.125
2015-02-21,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,1,0,21154.0,Demonstrations,1291,3.9083,97.125
2015-03-07,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,1,0,19567.0,Demonstrations,1291,3.9083,97.125
2015-04-11,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,1,0,21154.0,Demonstrations,1291,3.9083,97.125
2015-05-16,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,2,0,24743.0,Demonstrations,1291,3.9083,97.125
2015-07-25,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,2,0,2693.0,Demonstrations,1291,3.9083,97.125
2015-08-01,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,1,0,4648.0,Demonstrations,1291,3.9083,97.125
2015-08-22,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,3,0,5177.0,Demonstrations,1291,3.9083,97.125
2015-10-03,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,2,0,26330.0,Demonstrations,1291,3.9083,97.125
2015-11-14,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,1,0,1.0,Demonstrations,1291,3.9083,97.125
2015-11-21,Southeast Asia,Indonesia,Aceh,Protests,Peaceful protest,2,0,17583.0,Demonstrations,1291,3.9083,97.125
